gene	snv_indel_analysis	cnv_analysis
ABL1	yes	no
ABL2	yes	no
ACPP	yes	no
ACVR2A	yes	no
ACVRL1	yes	no
AKT1	yes	no
AKT2	yes	no
AKT3	yes	no
ALK	yes	yes
ARAF	yes	no
ATM	yes	no
ATR	yes	no
AURKA	yes	no
AURKB	yes	no
AURKC	yes	no
AXL	yes	yes
BCL2	yes	yes
BLK	yes	no
BRAF	yes	yes
BRCA1	yes	no
BRCA2	yes	no
BRD2	yes	no
BRD3	yes	no
BRD4	yes	no
BTK	yes	no
CCND1	yes	yes
CCND2	yes	yes
CCND3	yes	no
CDK2	yes	no
CDK4	yes	yes
CDK6	yes	yes
CDK7	yes	no
CDK9	yes	no
CDKN1A	yes	no
CDKN1B	yes	no
CDKN2A	yes	yes
CDKN2B	yes	yes
CHEK1	yes	no
CRKL	yes	no
CSF1R	yes	no
CTLA4	yes	no
DDR1	yes	no
DDR2	yes	no
DKK1	yes	no
DLL1	yes	no
DLL3	yes	no
DLL4	yes	no
DNMT1	yes	no
DNMT3A	yes	no
DNMT3B	yes	no
EGFR	yes	yes
ENG	yes	no
EPHA2	yes	no
EPHA3	yes	no
ERBB2	yes	yes
ERBB3	yes	yes
ERBB4	yes	yes
ERRFI1	yes	no
EZH2	yes	no
FGF1	yes	no
FGF2	yes	no
FGF3	yes	no
FGF4	yes	no
FGFR1	yes	yes
FGFR2	yes	yes
FGFR3	yes	yes
FGFR4	yes	yes
FGR	yes	no
FLT1	yes	yes
FLT3	yes	yes
FLT4	yes	yes
FYN	yes	no
GAK	yes	no
GNA11	yes	no
GNAQ	yes	no
GRB2	yes	no
HCK	yes	no
HGF	yes	yes
HRAS	yes	yes
HSP90AA1	yes	no
HSP90AB1	yes	no
HSP90B1	yes	no
IGF1R	yes	yes
IL1B	yes	no
IL2	yes	no
IL6	yes	no
IL6R	yes	no
INSR	yes	yes
JAK1	yes	no
JAK2	yes	no
JAK3	yes	no
KDM1A	yes	no
KDR	yes	yes
KIT	yes	yes
KRAS	yes	yes
LCK	yes	no
LRIG1	yes	no
LYN	yes	no
MAP2K1	yes	no
MAP2K2	yes	no
MAPK1	yes	no
MAPK11	yes	no
MAPK14	yes	no
MAPK3	yes	no
MCL1	yes	no
MDM2	yes	yes
MERTK	yes	no
MET	yes	yes
MST1R	yes	no
MTOR	yes	no
MYC	yes	yes
MYCN	yes	yes
MYD88	yes	no
NF1	yes	yes
NOTCH1	yes	no
NOTCH2	yes	no
NOTCH3	yes	no
NOTCH4	yes	no
NRAS	yes	yes
NRG1	yes	no
NRG2	yes	no
NRG3	yes	no
NRG4	yes	no
NTRK1	yes	yes
NTRK2	yes	yes
NTRK3	yes	yes
OSM	yes	no
OSMR	yes	no
PDGFA	yes	yes
PDGFB	yes	yes
PDGFRA	yes	yes
PDGFRB	yes	yes
PHLPP1	yes	no
PHLPP2	yes	no
PIK3CA	yes	no
PIK3CB	yes	no
PIK3CD	yes	no
PIK3CG	yes	no
PIK3R1	yes	no
PLK1	yes	no
PRKCA	yes	no
PRKCB	yes	no
PRKCD	yes	no
PRKCE	yes	no
PRKCH	yes	no
PRKCQ	yes	no
PTCH1	yes	yes
PTEN	yes	yes
PTK2	yes	no
PTPN11	yes	no
RAF1	yes	yes
RASA1	yes	no
RET	yes	yes
RHEB	yes	no
ROS1	yes	yes
RPS6KB1	yes	no
RPTOR	yes	no
SHH	yes	no
SMARCA4	yes	no
SMARCB1	yes	yes
SMO	yes	no
SOS1	yes	no
SRC	yes	no
STAT3	yes	no
SYK	yes	no
TERT	yes	yes
TGFB1	yes	no
TGFB2	yes	no
TGFB3	yes	no
TGFBR1	yes	no
TGFBR2	yes	no
TRAP1	yes	no
TSC1	yes	yes
TSC2	yes	yes
TYRO3	yes	no
VEGFA	yes	yes
VEGFB	yes	yes
WEE1	yes	no
XPO1	yes	no
