MolClin	RefNo	InvNo	OrderNo	Prefix	Gene	Suffix
C	2779	1	1		BCR	+
C	2785	1	1		BCR	+
C	2855	1	1		BCL2	+
C	3069	1	1		BCR	+
C	3159	1	1		BCR	+
C	3164	1	1		BCR	+
C	3362	1	1		BCR	+
C	3403	1	1		BCL2	+
C	3455	1	1		BCR	+
C	3659	1	1		BCR	+
C	3703	1	1		BCR	+
C	3816	1	1		BCR	+
C	3967	1	1		BCR/ABL1	
C	3967	1	2		BCR	+
C	3967	1	3		ABL1	+
C	3971	1	1		BCR	+
C	3976	1	1		BCR/ABL1	
C	3976	1	2		BCR	+
C	3976	1	3		ABL1	+
C	3976	2	1		BCR/ABL1	
C	3976	2	2		BCR	+
C	3976	2	3		ABL1	+
C	4088	1	1		BCL2	+
C	4230	1	1		BCL2	+
C	4283	1	1		RARA	+
C	4541	1	1		PML/RARA	
C	4541	1	2		PML	+
C	4541	1	3		RARA	+
C	4624	1	1		BCR/ABL1	
C	4624	1	2		BCR	+
C	4624	1	3		ABL1	+
C	4675	1	1		BCR	+
C	4748	1	1		PML/RARA	
C	4748	1	2		PML	+
C	4748	1	3		RARA	+
C	4791	1	1		BCR	+
C	4834	1	1		BCR	+
C	4892	1	1		TAL1	+
C	4969	1	1		BCL2	+
C	4993	1	1		TAL1	+
C	4994	1	1		TCF3/PBX1	
C	4994	1	2		TCF3	+
C	4994	1	3		PBX1	+
C	5068	1	1		BCR	+
C	5173	1	1		BCR/ABL1	
C	5173	1	2		BCR	+
C	5173	1	3		ABL1	+
C	5297	1	1		KMT2A	+
C	5463	1	1		KMT2A	+
C	5497	1	1		BCL2	+
C	5666	1	1		RUNX1/RUNX1T1	
C	5666	1	2		RUNX1	+
C	5666	1	3		RUNX1T1	+
C	5706	1	1		BCL2	+
C	5706	1	2		BCL6	+
C	5718	1	1		KMT2A	+
C	5718	2	1		KMT2A	+
C	5750	1	1		ZBTB16/RARA	
C	5750	1	2		ZBTB16	+
C	5750	1	3		RARA	+
C	5756	1	1		EWSR1/FLI1	
C	5756	1	2		EWSR1	+
C	5756	1	3		FLI1	+
C	5871	1	1		BCR	+
C	6000	1	1		SS18/SSX1	
C	6000	1	2		SS18	+
C	6000	1	3		SSX1	+
C	6000	1	4		SS18/SSX2	
C	6000	1	5		SS18	+
C	6000	1	6		SSX2	+
C	6150	1	1		RUNX1/RUNX1T1	
C	6150	1	2		RUNX1	+
C	6150	1	3		RUNX1T1	+
C	6207	1	1		KMT2A/AFF1	
C	6207	1	2		KMT2A	+
C	6207	1	3		AFF1	+
C	6207	1	4		KMT2A	+
C	6213	1	1		KMT2A	+
C	6237	1	1	+	MYCN	
C	6256	1	1	+	MYCN	
C	6276	1	1		KMT2A	+
C	6276	2	1		KMT2A	+
